fecha,inflacion,comercial_bruta,comercial_vencida,consumo_bruta,consumo_vencida,hipotecaria_bruta,hipotecaria_vencida,microcredito_bruta,microcredito_vencida,total_bruta,total_vencida,leasing_bancos_bruta,leasing_cf_bruta,total_titularizaciones_bruta,total_titularizaciones_vencida,gr_comercial_bruta,gr_consumo_bruta,gr_hipotecaria_bruta,gr_microcredito_bruta,gr_total_bruta,gr_leasing_bancos_bruta,gr_leasing_cf_bruta,gr_total_titularizaciones_bruta,gr_comercial_vencida,gr_consumo_vencida,gr_hipotecaria_vencida,gr_microcredito_vencida,gr_total_vencida,gr_total_titularizaciones_vencida,rgr_comercial_bruta,rgr_consumo_bruta,rgr_hipotecaria_bruta,rgr_microcredito_bruta,rgr_total_bruta,rgr_leasing_bancos_bruta,rgr_leasing_cf_bruta,rgr_total_titularizaciones_bruta,rgr_comercial_vencida,rgr_consumo_vencida,rgr_hipotecaria_vencida,rgr_microcredito_vencida,rgr_total_vencida,rgr_total_titularizaciones_vencida,sh_comercial_bruta,sh_consumo_bruta,sh_hipotecaria_bruta,sh_microcredito_bruta,sh_leasing_bancos_bruta,sh_leasing_cf_bruta,sh_comercial_vencida,sh_consumo_vencida,sh_hipotecaria_vencida,sh_microcredito_vencida,npl_comercial,npl_consumo,npl_hipotecaria,npl_microcredito,npl_total
1994-12-01,22.5900, 11084.1627,  411.1681,  5413.4141,  538.7416,  5157.5407, 177.5518,,, 21655.1175, 1127.4615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.1850,24.9983,23.8167,,,,36.4685,47.7836,15.7479,, 3.7095, 9.9520, 3.4426,, 5.2064
1995-01-01,21.0400, 11234.4218,  477.6145,  5645.6336,  625.2714,  5363.6298, 178.7376,,, 22243.6851, 1281.6236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.5061,25.3808,24.1130,,,,37.2664,48.7874,13.9462,, 4.2513,11.0753, 3.3324,, 5.7617
1995-02-01,20.8600, 11507.8941,  511.8964,  5714.4183,  664.7953,  5523.7030, 188.2036,,, 22746.0154, 1364.8952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.5930,25.1227,24.2843,,,,37.5044,48.7067,13.7889,, 4.4482,11.6336, 3.4072,, 6.0006
1995-03-01,21.3300, 12066.9862,  509.4208,  5828.1441,  634.7998,  5725.0241, 194.0265,,, 23620.1544, 1338.2471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0877,24.6745,24.2379,,,,38.0663,47.4352,14.4986,, 4.2216,10.8920, 3.3891,, 5.6657
1995-04-01,21.1700, 12371.7506,  531.8905,  5970.7464,  704.0034,  5877.3538, 205.8051,,, 24219.8508, 1441.6990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0810,24.6523,24.2667,,,,36.8933,48.8315,14.2752,, 4.2992,11.7909, 3.5017,, 5.9526
1995-05-01,21.3000, 12803.2085,  533.7404,  6077.1305,  722.7871,  6057.1458, 199.8629,,, 24937.4848, 1456.3905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.3412,24.3695,24.2893,,,,36.6482,49.6287,13.7232,, 4.1688,11.8936, 3.2996,, 5.8402
1995-06-01,21.6600, 13231.2805,  529.1297,  6141.0301,  699.1415,  6230.9789, 217.3454,,, 25603.2896, 1445.6166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.6780,23.9853,24.3366,,,,36.6024,48.3629,15.0348,, 3.9991,11.3848, 3.4881,, 5.6462
1995-07-01,21.5000, 13740.4546,  641.2995,  6227.5415,  780.7247,  6271.7224, 212.5792,,, 26239.7186, 1634.6033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.3651,23.7333,23.9016,,,,39.2327,47.7623,13.0049,, 4.6672,12.5366, 3.3895,, 6.2295
1995-08-01,21.0900, 14246.9747,  662.5068,  6325.7462,  785.9374,  6496.9663, 224.6782,,, 27069.6872, 1673.1224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.6307,23.3684,24.0009,,,,39.5970,46.9743,13.4287,, 4.6502,12.4244, 3.4582,, 6.1808
1995-09-01,20.7900, 14763.5265,  649.9714,  6472.4305,  779.2371,  6687.4221, 227.7138,,, 27923.3791, 1656.9223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.8716,23.1793,23.9492,,,,39.2276,47.0292,13.7432,, 4.4025,12.0393, 3.4051,, 5.9338
1995-10-01,20.5200, 15161.7090,  703.5107,  6591.4236,  797.7091,  6895.5346, 236.6322,,, 28648.6672, 1737.8520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.9229,23.0078,24.0693,,,,40.4816,45.9020,13.6164,, 4.6400,12.1022, 3.4317,, 6.0661
1995-11-01,20.1300, 15643.4948,  725.0008,  6690.6695,  828.6409,  7049.7487, 250.8198,,, 29383.9129, 1804.4615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.2383,22.7698,23.9919,,,,40.1782,45.9218,13.9000,, 4.6345,12.3850, 3.5579,, 6.1410
1995-12-01,19.4600, 16081.6595,  656.7317,  6735.1318,  821.2349,  7265.1811, 251.1244,,, 30081.9724, 1729.0909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.4595,22.3893,24.1513,,,,37.9813,47.4952,14.5235,, 4.0837,12.1933, 3.4565,, 5.7479
1996-01-01,20.2400, 16370.8640,  759.3119,  6892.3545,  883.7490,  7469.3160, 276.4934,,, 30732.5346, 1919.5544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.2688,22.4269,24.3043,,,,39.5567,46.0393,14.4040,, 4.6382,12.8222, 3.7017,, 6.2460
1996-02-01,20.8100, 16628.8313,  806.2291,  6983.8367,  929.7565,  7650.0690, 282.9451,,, 31262.7371, 2018.9307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.1906,22.3392,24.4702,,,,39.9335,46.0519,14.0146,, 4.8484,13.3130, 3.6986,, 6.4579
1996-03-01,20.2000, 17066.4077,  809.1720,  7068.8792,  946.9196,  7854.8238, 292.0314,,, 31990.1107, 2048.1230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.3490,22.0971,24.5539,,,,39.5080,46.2335,14.2585,, 4.7413,13.3956, 3.7179,, 6.4024
1996-04-01,19.9000, 17302.0000,  895.7790,  7166.5109,  994.3378,  8027.5465, 307.1929,,, 32496.0575, 2197.3097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.2434,22.0535,24.7031,,,,40.7671,45.2525,13.9804,, 5.1773,13.8748, 3.8267,, 6.7618
1996-05-01,19.7800, 17694.3659,  924.8589,  7198.3922,  983.2460,  8290.7270, 322.6381,,, 33183.4851, 2230.7430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.3228,21.6927,24.9845,,,,41.4597,44.0771,14.4633,, 5.2269,13.6592, 3.8916,, 6.7224
1996-06-01,19.7000, 17981.8513,  903.9397,  7227.9786,  988.0382,  8528.1092, 336.4776,,, 33737.9390, 2228.4555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.2986,21.4239,25.2775,,,,40.5635,44.3374,15.0991,, 5.0270,13.6696, 3.9455,, 6.6052
1996-07-01,20.5700, 18206.7847, 1012.8559,  7345.5398, 1018.5946,  8788.1780, 350.6715,,, 34340.5024, 2382.1221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0184,21.3903,25.5913,,,,42.5191,42.7600,14.7210,, 5.5631,13.8668, 3.9903,, 6.9368
1996-08-01,21.1300, 18426.4638, 1104.8916,  7418.3198, 1047.7519,  9041.3167, 364.2569,,, 34886.1003, 2516.9004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.8189,21.2644,25.9167,,,,43.8989,41.6287,14.4724,, 5.9962,14.1238, 4.0288,, 7.2146
1996-09-01,21.5500, 18703.2534, 1088.7846,  7505.3570, 1063.2052,  9286.2702, 389.6125,,, 35494.8807, 2541.6024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.6928,21.1449,26.1623,,,,42.8385,41.8321,15.3294,, 5.8214,14.1660, 4.1956,, 7.1605
1996-10-01,21.8700, 18828.6303, 1191.3720,  7496.0020, 1087.5661,  9476.0938, 410.0451,,, 35800.7261, 2688.9831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5929,20.9381,26.4690,,,,44.3057,40.4453,15.2491,, 6.3274,14.5086, 4.3272,, 7.5110
1996-11-01,21.8800, 19485.4296, 1253.6855,  7385.9305, 1100.2679,  9731.0553, 444.0047,,, 36602.4154, 2797.9582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.2354,20.1788,26.5858,,,,44.8072,39.3240,15.8689,, 6.4340,14.8968, 4.5628,, 7.6442
1996-12-01,21.6300, 20911.6914, 1187.6357,  6781.9526,  879.5724,  9977.0954, 468.3672,,, 37670.7394, 2535.5753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.5118,18.0032,26.4850,,,,46.8389,34.6893,18.4718,, 5.6793,12.9693, 4.6944,, 6.7309
1997-01-01,20.6200, 21077.0160, 1370.1327,  6988.0018,  879.5723, 10203.7289, 507.8529,,, 38268.7466, 2757.5579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0763,18.2603,26.6633,,,,49.6865,31.8968,18.4168,, 6.5006,12.5869, 4.9771,, 7.2058
1997-02-01,19.5800, 21385.4973, 1380.4963,  7165.5649,  977.6591, 10418.0156, 534.6808,,, 38969.0777, 2892.8362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.8781,18.3878,26.7341,,,,47.7212,33.7959,18.4829,, 6.4553,13.6439, 5.1323,, 7.4234
1997-03-01,18.9300, 21589.9791, 1396.0562,  7285.6969, 1053.6412, 10652.5973, 570.1979,,, 39528.2733, 3019.8953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.6191,18.4316,26.9493,,,,46.2286,34.8900,18.8814,, 6.4662,14.4618, 5.3527,, 7.6398
1997-04-01,18.5200, 21734.0285, 1468.6465,  7264.2352,  958.5373, 10917.1073, 588.4664,,, 39915.3711, 3015.6501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.4503,18.1991,27.3506,,,,48.7008,31.7854,19.5137,, 6.7574,13.1953, 5.3903,, 7.5551
1997-05-01,18.6000, 22207.3573, 1473.2295,  7425.6900,  959.1259, 11188.8338, 639.0947,,, 40821.8811, 3071.4501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.4006,18.1905,27.4089,,,,47.9653,31.2271,20.8076,, 6.6340,12.9163, 5.7119,, 7.5240
1997-06-01,18.6700, 22852.3799, 1415.9463,  7612.3735,  954.5485, 11438.7137, 676.1254,,, 41903.4671, 3046.6202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.5358,18.1665,27.2978,,,,46.4760,31.3314,22.1926,, 6.1961,12.5394, 5.9109,, 7.2706
1997-07-01,17.8800, 23205.8235, 1502.1346,  7753.0286,  923.1738, 11731.6156, 726.1755,,, 42690.4677, 3151.4839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.3583,18.1610,27.4806,,,,47.6644,29.2933,23.0423,, 6.4731,11.9073, 6.1899,, 7.3822
1997-08-01,17.9300, 23628.8604, 1568.0921,  7956.2143,  974.9103, 11969.7510, 744.0751,,, 43554.8257, 3287.0775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.2508,18.2671,27.4820,,,,47.7048,29.6589,22.6364,, 6.6363,12.2534, 6.2163,, 7.5470
1997-09-01,18.0100, 24548.4120, 1569.0705,  8156.3477,  959.5450, 12254.1757, 758.4744,,, 44958.9355, 3287.0900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.6019,18.1418,27.2564,,,,47.7343,29.1913,23.0743,, 6.3917,11.7644, 6.1895,, 7.3113
