fecha,inflacion,cdt_recursos,vista_recursos,total_recursos,gr_cdt_recursos,gr_vista_recursos,gr_total_recursos,rgr_cdt_recursos,rgr_vista_recursos,rgr_total_recursos,sh_cdt_recursos,sh_vista_recursos,cre_rec
1995-04-01,21.1700,  9167.0703, 10906.6728, 20073.7431,,,,,,,45.6670,54.3330,120.6544
1995-05-01,21.3000,  9332.0535, 11160.1469, 20492.2005,,,,,,,45.5395,54.4605,121.6926
1995-06-01,21.6600,  9668.4331, 11561.1313, 21229.5644,,,,,,,45.5423,54.4577,120.6020
1995-07-01,21.5000,  9737.4270, 12059.2902, 21796.7172,,,,,,,44.6738,55.3262,120.3838
1995-08-01,21.0900, 10302.0532, 11703.0118, 22005.0650,,,,,,,46.8167,53.1833,123.0157
1995-09-01,20.7900, 10683.5400, 12018.1129, 22701.6530,,,,,,,47.0606,52.9394,123.0015
1995-10-01,20.5200, 10892.8192, 12361.1542, 23253.9735,,,,,,,46.8428,53.1572,123.1990
1995-11-01,20.1300, 10381.1311, 12571.8574, 22952.9885,,,,,,,45.2278,54.7722,128.0178
1995-12-01,19.4600, 10395.4792, 13000.3247, 23395.8039,,,,,,,44.4331,55.5669,128.5785
1996-01-01,20.2400, 11166.9549, 13043.8805, 24210.8354,,,,,,,46.1238,53.8762,126.9371
1996-02-01,20.8100, 11690.4464, 12838.3650, 24528.8115,,,,,,,47.6601,52.3399,127.4531
1996-03-01,20.2000, 11674.2724, 12912.7467, 24587.0191,,,,,,,47.4814,52.5186,130.1098
1996-04-01,19.9000, 12147.2586, 13108.4236, 25255.6821,,,,,,,48.0971,51.9029,128.6683
1996-05-01,19.7800, 12287.0582, 13080.5779, 25367.6361,,,,,,,48.4360,51.5640,130.8103
1996-06-01,19.7000, 12123.2425, 13548.5951, 25671.8376,,,,,,,47.2239,52.7761,131.4200
1996-07-01,20.5700, 13774.7366, 13700.9145, 27475.6511,,,,,,,50.1343,49.8657,124.9852
1996-08-01,21.1300, 14077.2608, 14008.5729, 28085.8337,,,,,,,50.1223,49.8777,124.2124
1996-09-01,21.5500, 13998.6120, 14595.7575, 28594.3695,,,,,,,48.9558,51.0442,124.1324
1996-10-01,21.8700, 14338.2723, 14691.0089, 29029.2812,,,,,,,49.3924,50.6076,123.3263
1996-11-01,21.8800, 13920.6370, 14980.5776, 28901.2146,,,,,,,48.1663,51.8337,126.6466
1996-12-01,21.6300, 14631.8019, 16509.7108, 31141.5127,,,,,,,46.9849,53.0151,120.9663
1997-01-01,20.6200, 14881.0795, 16146.3712, 31027.4508,,,,,,,47.9610,52.0390,123.3384
1997-02-01,19.5800, 15067.1502, 15855.8450, 30922.9952,,,,,,,48.7247,51.2753,126.0197
1997-03-01,18.9300, 15033.5388, 16658.9932, 31692.5320,,,,,,,47.4356,52.5644,124.7243
1997-04-01,18.5200, 15561.6791, 16843.7188, 32405.3979,,,,,,,48.0219,51.9781,123.1751
1997-05-01,18.6000, 15497.5160, 17077.3221, 32574.8381,,,,,,,47.5751,52.4249,125.3172
1997-06-01,18.6700, 15589.0372, 17802.0590, 33391.0962,,,,,,,46.6862,53.3138,125.4929
1997-07-01,17.8800, 16184.9504, 17953.5312, 34138.4816,,,,,,,47.4097,52.5903,125.0509
1997-08-01,17.9300, 16492.3520, 18065.4496, 34557.8016,,,,,,,47.7240,52.2760,126.0347
1997-09-01,18.0100, 16812.6446, 18533.1323, 35345.7769,,,,,,,47.5662,52.4338,127.1975
1997-10-01,17.8000, 16980.1576, 18845.0511, 35825.2087,,,,,,,47.3972,52.6028,128.7713
1997-11-01,17.8100, 17463.0387, 19612.6674, 37075.7061,,,,,,,47.1010,52.8990,127.6337
1997-12-01,17.6800, 17622.2669, 20626.1556, 38248.4225,,,,,,,46.0732,53.9268,126.5038
1998-01-01,17.8400, 18821.6619, 20144.2855, 38965.9474,,,,,,,48.3028,51.6972,121.6829
1998-02-01,18.0300, 19238.2193, 19398.9128, 38637.1321,,,,,,,49.7920,50.2080,129.1305
1998-03-01,19.2400, 19488.6193, 19334.3191, 38822.9384,,,,,,,50.1987,49.8013,130.4566
1998-04-01,20.7400, 20408.0114, 19699.0232, 40107.0347,,,,,,,50.8839,49.1161,128.4298
1998-05-01,20.6700, 21063.1237, 19900.4315, 40963.5552,,,,,,,51.4192,48.5808,128.4658
1998-06-01,20.6900, 21126.9917, 19438.7298, 40565.7216,,,,,,,52.0809,47.9191,129.7877
1998-07-01,20.2700, 22112.7981, 18764.9418, 40877.7399,,,,,,,54.0950,45.9050,129.6759
1998-08-01,18.9400, 22574.0649, 18837.8178, 41411.8827,,,,,,,54.5111,45.4889,129.2502
1998-09-01,17.8000, 22638.3904, 18093.9343, 40732.3247,,,,,,,55.5784,44.4216,133.2411
1998-10-01,17.0900, 23044.3779, 17530.4575, 40574.8354,,,,,,,56.7948,43.2052,134.3912
1998-11-01,16.3500, 22079.6199, 18248.2297, 40327.8496,,,,,,,54.7503,45.2497,135.3101
1998-12-01,16.7000, 23092.3001, 19957.0554, 43049.3555,,,,,,,53.6415,46.3585,125.6617
1999-01-01,17.1807, 24253.3343, 19349.3589, 43602.6932,,,,,,,55.6235,44.3765,124.6191
1999-02-01,15.3811, 25119.8270, 18948.3441, 44068.1710,,,,,,,57.0022,42.9978,122.5938
1999-03-01,13.5100, 25011.2274, 19126.3142, 44137.5416,,,,,,,56.6666,43.3334,121.3902
1999-04-01,11.1705, 24916.4620, 19930.8843, 44847.3464,,,,,,,55.5584,44.4416,119.2028
1999-05-01, 9.9844, 24335.4525, 20246.1418, 44581.5943,,,,,,,54.5863,45.4137,119.8025
1999-06-01, 8.9606, 23878.1772, 20453.0084, 44331.1856,,,,,,,53.8632,46.1368,118.9157
1999-07-01, 8.7813, 23387.5368, 20429.6241, 43817.1608,,,,,,,53.3753,46.6247,118.4537
1999-08-01, 9.2835, 23652.8536, 20458.2831, 44111.1367,,,,,,,53.6210,46.3790,116.3280
1999-09-01, 9.3287, 23624.9948, 20088.0731, 43713.0679,,,,,,,54.0456,45.9544,118.7248
1999-10-01, 9.3203, 23956.0061, 20395.5520, 44351.5581,,,,,,,54.0139,45.9861,115.3026
1999-11-01, 9.6499, 23640.9767, 21441.3133, 45082.2900,,,,,,,52.4396,47.5604,114.4093
