fecha,inflacion,bruta_total,bruta_comercial,bruta_corporativo,bruta_leasing,bruta_oficial_o_gobierno,bruta_pymes,bruta_construccion,bruta_moneda_extranjera,bruta_empresarial,bruta_microempresa,bruta_finan_e_institucional,bruta_factoring,vencida_total,vencida_comercial,vencida_corporativo,vencida_leasing,vencida_oficial_o_gobierno,vencida_pymes,vencida_construccion,vencida_moneda_extranjera,vencida_empresarial,vencida_microempresa,vencida_finan_e_institucional,vencida_factoring,gr_bruta_total,gr_bruta_comercial,gr_bruta_corporativo,gr_bruta_leasing,gr_bruta_oficial_o_gobierno,gr_bruta_pymes,gr_bruta_construccion,gr_bruta_moneda_extranjera,gr_bruta_empresarial,gr_bruta_microempresa,gr_bruta_finan_e_institucional,gr_bruta_factoring,gr_vencida_total,gr_vencida_comercial,gr_vencida_corporativo,gr_vencida_leasing,gr_vencida_oficial_o_gobierno,gr_vencida_pymes,gr_vencida_construccion,gr_vencida_moneda_extranjera,gr_vencida_empresarial,gr_vencida_microempresa,gr_vencida_finan_e_institucional,gr_vencida_factoring,rgr_bruta_total,rgr_bruta_comercial,rgr_bruta_corporativo,rgr_bruta_leasing,rgr_bruta_oficial_o_gobierno,rgr_bruta_pymes,rgr_bruta_construccion,rgr_bruta_moneda_extranjera,rgr_bruta_empresarial,rgr_bruta_microempresa,rgr_bruta_finan_e_institucional,rgr_bruta_factoring,rgr_vencida_total,rgr_vencida_comercial,rgr_vencida_corporativo,rgr_vencida_leasing,rgr_vencida_oficial_o_gobierno,rgr_vencida_pymes,rgr_vencida_construccion,rgr_vencida_moneda_extranjera,rgr_vencida_empresarial,rgr_vencida_microempresa,rgr_vencida_finan_e_institucional,rgr_vencida_factoring,npl_corporativo,npl_leasing,npl_oficial_o_gobierno,npl_pymes,npl_construccion,npl_moneda_extranjera,npl_empresarial,npl_microempresa,npl_finan_e_institucional,npl_factoring
2015-01-01, 3.8207,329380.8053,193825.1942, 56089.1519,23444.1156,14567.9084,25211.8816,10952.8181,26851.3851,16031.5134,13118.2715, 5458.5100,2099.6386,11282.9705, 4490.3341, 515.9390, 652.4151, 15.8527,1234.6378, 210.2017, 239.3053, 586.3614,1012.3226, 11.1634, 12.1351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9199,2.7829,0.1088, 4.8970,1.9192,0.8912,3.6576, 7.7169,0.2045,0.5780
2015-02-01, 4.3560,334196.9318,196304.4975, 57305.1566,22776.0846,14645.7957,25584.8816,11245.3413,27479.2922,16501.1571,13070.9946, 5582.1947,2113.5990,11345.3807, 4496.5412, 484.3255, 595.2883, 21.1003,1244.1058, 214.5117, 252.2404, 627.1047,1031.7714, 11.0837, 15.0095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8452,2.6137,0.1441, 4.8627,1.9076,0.9179,3.8004, 7.8936,0.1986,0.7101
2015-03-01, 4.5552,339422.2683,199455.7871, 57295.2310,23732.8504,15092.4279,25901.0343,11500.8249,28045.1751,16932.4279,13086.9571, 5592.2011,2276.6575,11421.7059, 4610.8367, 439.2980, 662.0454, 18.1836,1294.7462, 218.9908, 286.4360, 619.7376,1033.2704, 25.3024, 12.8263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7667,2.7896,0.1205, 4.9988,1.9041,1.0213,3.6601, 7.8954,0.4525,0.5634
2015-04-01, 4.6378,340724.4040,199410.5945, 60107.9600,23984.1300,14245.3644,26173.6790,11834.5986,25276.5498,17076.2693,12826.8876, 5634.8443,2250.3114,11875.0684, 4678.5481, 413.8924, 715.1899, 20.3224,1370.8488, 226.8509, 207.2439, 668.4064,1031.9664, 11.1235, 12.7035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6886,2.9819,0.1427, 5.2375,1.9168,0.8199,3.9142, 8.0453,0.1974,0.5645
2015-05-01, 4.4080,346790.8980,203806.2561, 61449.3650,24142.8247,14438.6223,26683.1455,12192.7404,27036.4941,17153.5514,12777.6204, 5622.6463,2309.2462,12129.4856, 4712.8712, 464.2321, 771.0223, 17.9612,1359.3786, 214.0799, 200.6405, 612.2907,1048.1122, 10.7377, 14.4159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7555,3.1936,0.1244, 5.0945,1.7558,0.7421,3.5695, 8.2027,0.1910,0.6243
2015-06-01, 4.4203,351808.3886,207117.9083, 62195.6788,24408.6725,14452.7305,27147.6206,12598.5733,28392.7011,17320.1594,12299.9738, 5826.5051,2475.2933,12352.7300, 4806.0405, 491.9439, 790.6492, 17.4981,1437.2044, 231.2452, 207.7663, 593.0886,1010.7016, 10.7520, 15.1912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7910,3.2392,0.1211, 5.2940,1.8355,0.7318,3.4243, 8.2171,0.1845,0.6137
2015-07-01, 4.4557,357160.3173,210942.9612, 62483.6126,24599.8788,14545.4214,27384.7074,13014.5276,30662.2492,17425.5517,12494.3280, 5956.2244,2376.4601,12169.8987, 4906.4089, 578.5079, 755.4994, 19.3789,1412.5057, 244.2412, 243.6451, 611.6477,1016.7873, 10.4368, 13.7590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9259,3.0712,0.1332, 5.1580,1.8767,0.7946,3.5101, 8.1380,0.1752,0.5790
2015-08-01, 4.7443,365425.4512,217746.1473, 66390.9214,24909.3452,14762.3903,27422.8225,13227.1592,32738.6111,17469.1769,12398.8549, 6020.2424,2406.6235,12490.9325, 5055.6275, 671.2200, 773.8347, 13.5949,1469.5762, 219.3098, 258.0943, 628.3743, 993.8966, 10.4400, 17.2866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0110,3.1066,0.0921, 5.3590,1.6580,0.7883,3.5970, 8.0160,0.1734,0.7183
2015-09-01, 5.3507,367407.0694,217904.8812, 66127.9074,25151.2236,15158.1094,27882.9891,13464.7847,31412.4799,17421.9860,12490.4321, 6262.9865,2531.9825,12475.9669, 5136.8514, 627.8797, 809.2264, 15.6260,1515.0330, 217.1175, 302.2704, 628.3653, 996.0071, 10.4307, 14.8951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9495,3.2174,0.1031, 5.4335,1.6125,0.9623,3.6067, 7.9742,0.1665,0.5883
2015-10-01, 5.8948,369874.1708,219133.3084, 67550.0834,25586.7650,15190.5722,28154.6861,13861.5958,28937.4200,17547.0078,12690.0839, 7051.4929,2563.6012,12442.8618, 4996.9158, 619.6055, 781.6024, 14.9870,1472.7206, 213.9809, 279.1505, 612.0153, 975.0037, 10.4175, 17.4323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9173,3.0547,0.0987, 5.2308,1.5437,0.9647,3.4879, 7.6832,0.1477,0.6800
