fecha,inflacion,bruta_total,bruta_consumo,bruta_libranza,bruta_libre_inversion,bruta_tarjetas_de_credito,bruta_vehiculo,bruta_credito_rotativo,bruta_otros,bruta_empleados,bruta_bajo_monto,vencida_total,vencida_consumo,vencida_libranza,vencida_libre_inversion,vencida_tarjetas_de_credito,vencida_vehiculo,vencida_credito_rotativo,vencida_otros,vencida_empleados,vencida_bajo_monto,gr_bruta_total,gr_bruta_consumo,gr_bruta_libranza,gr_bruta_libre_inversion,gr_bruta_tarjetas_de_credito,gr_bruta_vehiculo,gr_bruta_credito_rotativo,gr_bruta_otros,gr_bruta_empleados,gr_bruta_bajo_monto,gr_vencida_total,gr_vencida_consumo,gr_vencida_libranza,gr_vencida_libre_inversion,gr_vencida_tarjetas_de_credito,gr_vencida_vehiculo,gr_vencida_credito_rotativo,gr_vencida_otros,gr_vencida_empleados,gr_vencida_bajo_monto,rgr_bruta_total,rgr_bruta_consumo,rgr_bruta_libranza,rgr_bruta_libre_inversion,rgr_bruta_tarjetas_de_credito,rgr_bruta_vehiculo,rgr_bruta_credito_rotativo,rgr_bruta_otros,rgr_bruta_empleados,rgr_bruta_bajo_monto,rgr_vencida_total,rgr_vencida_consumo,rgr_vencida_libranza,rgr_vencida_libre_inversion,rgr_vencida_tarjetas_de_credito,rgr_vencida_vehiculo,rgr_vencida_credito_rotativo,rgr_vencida_otros,rgr_vencida_empleados,rgr_vencida_bajo_monto,npl_libranza,npl_libre_inversion,npl_tarjetas_de_credito,npl_vehiculo,npl_credito_rotativo,npl_otros,npl_empleados,npl_bajo_monto
2015-01-01, 3.8207,329380.8053, 89649.5650,32336.1264,19807.6524,19322.3174,10465.6897,5378.4605,2088.0709,251.2467,   0.0010,11282.9705, 4083.8545, 623.3044,1329.6177,1064.9868, 587.0563,285.7560,191.4044,1.7289, 0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9276, 6.7126,5.5117,5.6093, 5.3130, 9.1666,0.6881, 0.0000
2015-02-01, 4.3560,334196.9318, 90385.9105,32785.7039,20010.0364,19193.5242,10543.0029,5404.6136,2188.5889,260.4387,   0.0021,11345.3807, 4217.5531, 648.4756,1338.9653,1143.1719, 607.0820,291.7276,186.4274,1.7034, 0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9779, 6.6915,5.9560,5.7582, 5.3978, 8.5182,0.6540, 0.0000
2015-03-01, 4.5552,339422.2683, 91402.7846,33275.0974,20148.4011,19221.6366,10632.4671,5414.5597,2445.7691,264.8516,   0.0020,11421.7059, 4251.6133, 663.3028,1357.5855,1149.4807, 599.1027,297.4162,182.9311,1.7941, 0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9934, 6.7379,5.9801,5.6347, 5.4929, 7.4795,0.6774, 0.0000
2015-04-01, 4.6378,340724.4040, 92245.0136,33715.6438,20344.3922,19493.9091,10699.9744,5437.1760,2286.6501,267.2662,   0.0018,11875.0684, 4448.5656, 697.6273,1430.4771,1198.6725, 612.8396,316.1634,190.5777,2.2080, 0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0692, 7.0313,6.1490,5.7275, 5.8148, 8.3344,0.8261, 0.0000
2015-05-01, 4.4080,346790.8980, 93028.8720,34010.0287,20614.5360,19898.6584,10777.4749,5457.9453,2002.2299,267.9971,   0.0016,12129.4856, 4566.9623, 700.3358,1465.8383,1237.0499, 630.6705,333.3965,196.9052,2.7661, 0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0592, 7.1107,6.2168,5.8517, 6.1085, 9.8343,1.0321, 0.0000
2015-06-01, 4.4203,351808.3886, 94511.3096,34375.0232,21534.7623,20029.6847,10824.1988,5481.4169,2012.4362,253.7859,   0.0015,12352.7300, 4631.6617, 735.6885,1497.7021,1239.2718, 625.9931,335.6136,195.1731,2.2195, 0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1402, 6.9548,6.1872,5.7833, 6.1228, 9.6984,0.8745, 0.0000
2015-07-01, 4.4557,357160.3173, 95332.6460,34720.3072,21752.9205,20134.2777,10913.7503,5533.6633,2018.2671,259.4586,   0.0013,12169.8987, 4450.0767, 690.9602,1437.6756,1184.5093, 617.6602,331.4589,185.5973,2.2151, 0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9901, 6.6091,5.8830,5.6595, 5.9899, 9.1959,0.8537, 0.0000
2015-08-01, 4.7443,365425.4512, 96222.0204,35197.1000,21981.3511,20222.1279,11004.4523,5555.6939,1997.2757,264.0183,   0.0011,12490.9325, 4521.3945, 701.7271,1447.3636,1193.5215, 645.3754,345.6163,185.6547,2.1358, 0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9937, 6.5845,5.9021,5.8647, 6.2209, 9.2954,0.8090, 0.0000
2015-09-01, 5.3507,367407.0694, 97236.9606,35626.4652,22389.0128,20277.8278,11126.5360,5577.2292,1971.4022,268.4864,   0.0010,12475.9669, 4470.0297, 723.1778,1421.1480,1179.0660, 628.2057,337.2846,178.9884,2.1591, 0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0299, 6.3475,5.8146,5.6460, 6.0475, 9.0792,0.8042, 0.0000
2015-10-01, 5.8948,369874.1708, 98135.4463,35956.2613,22755.3487,20399.2038,11226.8012,5581.1747,1945.2456,271.3836,   0.0274,12442.8618, 4518.1252, 743.2284,1452.5474,1164.7792, 635.3467,343.7142,175.7733,2.7358, 0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0670, 6.3833,5.7099,5.6592, 6.1585, 9.0360,1.0081, 0.0000
