fecha,inflacion,bruta_total,bruta_hipotecaria,bruta_vivienda_no_vis,bruta_vivienda_vis,bruta_leasing_no_vis,bruta_leasing_vis,bruta_empleados_no_vis,bruta_empleados_vis,bruta_libranza_no_vis,bruta_libranza_vis,vencida_total,vencida_hipotecaria,vencida_vivienda_no_vis,vencida_vivienda_vis,vencida_leasing_no_vis,vencida_leasing_vis,vencida_empleados_no_vis,vencida_empleados_vis,vencida_libranza_no_vis,vencida_libranza_vis,gr_bruta_total,gr_bruta_hipotecaria,gr_bruta_vivienda_no_vis,gr_bruta_vivienda_vis,gr_bruta_leasing_no_vis,gr_bruta_leasing_vis,gr_bruta_empleados_no_vis,gr_bruta_empleados_vis,gr_bruta_libranza_no_vis,gr_bruta_libranza_vis,gr_vencida_total,gr_vencida_hipotecaria,gr_vencida_vivienda_no_vis,gr_vencida_vivienda_vis,gr_vencida_leasing_no_vis,gr_vencida_leasing_vis,gr_vencida_empleados_no_vis,gr_vencida_empleados_vis,gr_vencida_libranza_no_vis,gr_vencida_libranza_vis,rgr_bruta_total,rgr_bruta_hipotecaria,rgr_bruta_vivienda_no_vis,rgr_bruta_vivienda_vis,rgr_bruta_leasing_no_vis,rgr_bruta_leasing_vis,rgr_bruta_empleados_no_vis,rgr_bruta_empleados_vis,rgr_bruta_libranza_no_vis,rgr_bruta_libranza_vis,rgr_vencida_total,rgr_vencida_hipotecaria,rgr_vencida_vivienda_no_vis,rgr_vencida_vivienda_vis,rgr_vencida_leasing_no_vis,rgr_vencida_leasing_vis,rgr_vencida_empleados_no_vis,rgr_vencida_empleados_vis,rgr_vencida_libranza_no_vis,rgr_vencida_libranza_vis,npl_vivienda_no_vis,npl_vivienda_vis,npl_leasing_no_vis,npl_leasing_vis,npl_empleados_no_vis,npl_empleados_vis,npl_libranza_no_vis,npl_libranza_vis
2015-01-01, 3.8207,329380.8053, 36773.3666,20135.6209, 8629.0431, 6874.1092, 11.0575, 327.8317,271.2613,418.3410,106.1018,11282.9705,1982.0156, 957.8613, 725.0091, 287.0564, 3.6001,0.6616,0.1084, 4.7360,2.9827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7570,8.4020,4.1759,32.5583,0.2018,0.0400,1.1321,2.8112
2015-02-01, 4.3560,334196.9318, 37402.4226,20457.9924, 8765.3280, 6977.7539, 10.9705, 383.9404,278.8533,420.9390,106.6451,11345.3807,1937.1956,1011.9399, 631.9088, 280.9301, 3.6204,0.9043,0.1565, 4.6489,3.0866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9464,7.2092,4.0261,33.0014,0.2355,0.0561,1.1044,2.8943
2015-03-01, 4.5552,339422.2683, 38392.0087,20987.6491, 9091.2308, 7097.5716, 10.8338, 396.7110,278.6749,422.8571,106.4805,11421.7059,1845.4246, 991.5107, 582.5422, 260.2595, 3.2304,0.4558,0.1599, 4.5305,2.7356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7243,6.4077,3.6669,29.8180,0.1149,0.0574,1.0714,2.5691
2015-04-01, 4.6378,340724.4040, 38826.8169,21439.7574, 8942.9129, 7205.4944, 11.8543, 416.8420,278.5823,425.3143,106.0593,11875.0684,2037.5680,1076.1637, 640.8403, 309.1081, 3.0684,0.8856,0.1040, 4.3730,3.0249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0195,7.1659,4.2899,25.8841,0.2124,0.0373,1.0282,2.8520
2015-05-01, 4.4080,346790.8980, 39683.8865,22068.2547, 9023.4980, 7326.8865, 12.2503, 439.4720,280.1724,427.3621,105.9906,12129.4856,2215.9115,1132.1808, 755.3743, 316.8012, 3.1536,0.6774,0.1431, 4.3975,3.1836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1304,8.3712,4.3238,25.7429,0.1541,0.0511,1.0290,3.0037
2015-06-01, 4.4203,351808.3886, 39856.4710,22122.5938, 9046.1343, 7434.5529, 12.8237, 452.4919,274.6135,411.6206,101.6403,12352.7300,2259.4859,1151.1366, 746.1112, 350.3118, 3.0525,0.5026,0.2030, 5.1038,3.0644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2034,8.2478,4.7119,23.8034,0.1111,0.0739,1.2399,3.0150
2015-07-01, 4.4557,357160.3173, 40495.9634,22510.0819, 9131.4374, 7567.2023, 13.1009, 478.8869,277.3352,416.4009,101.5178,12169.8987,2152.5021,1115.1639, 706.6515, 319.4819, 2.7474,1.2815,0.2425, 3.9575,2.9760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9541,7.7387,4.2219,20.9707,0.2676,0.0874,0.9504,2.9315
2015-08-01, 4.7443,365425.4512, 41081.1027,22855.4439, 9194.4795, 7713.4243, 13.1960, 502.1678,281.2764,419.3824,101.7324,12490.9325,2253.6182,1160.2166, 736.2178, 344.8980, 2.6641,1.7114,0.3836, 4.6254,2.9013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0763,8.0072,4.4714,20.1890,0.3408,0.1364,1.1029,2.8519
2015-09-01, 5.3507,367407.0694, 41817.9163,23287.2212, 9261.2449, 7916.0840, 13.4637, 529.7667,281.6649,426.5960,101.8750,12475.9669,2205.6287,1118.1385, 723.6414, 351.6420, 2.6302,0.9383,0.3648, 5.1080,3.1655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8015,7.8137,4.4421,19.5352,0.1771,0.1295,1.1974,3.1073
2015-10-01, 5.8948,369874.1708, 42089.0530,23313.0718, 9332.0563, 8059.5235, 13.4107, 553.9140,284.4516,432.3198,100.3052,12442.8618,2254.2386,1160.8787, 737.9008, 343.3036, 2.2971,1.0911,0.2541, 5.5690,2.9441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9795,7.9072,4.2596,17.1291,0.1970,0.0893,1.2882,2.9351
