fecha,inflacion,bruta_total,bruta_microcredito,bruta_smml_25,bruta_smml_25_y_120,vencida_total,vencida_microcredito,vencida_smml_25,vencida_smml_25_y_120,gr_bruta_total,gr_bruta_microcredito,gr_bruta_smml_25,gr_bruta_smml_25_y_120,gr_vencida_total,gr_vencida_microcredito,gr_vencida_smml_25,gr_vencida_smml_25_y_120,rgr_bruta_total,rgr_bruta_microcredito,rgr_bruta_smml_25,rgr_bruta_smml_25_y_120,rgr_vencida_total,rgr_vencida_microcredito,rgr_vencida_smml_25,rgr_vencida_smml_25_y_120,npl_smml_25,npl_smml_25_y_120
2015-01-01, 3.8207,329380.8053, 9132.6795, 6740.9979,2391.6817,11282.9705, 726.7663, 486.5019,240.2644,,,,,,,,,,,,,,,,, 7.2171,10.0458
2015-02-01, 4.3560,334196.9318,10104.1012, 7769.9680,2334.1332,11345.3807, 694.0908, 468.3060,225.7848,,,,,,,,,,,,,,,,, 6.0271, 9.6732
2015-03-01, 4.5552,339422.2683,10171.6879, 7664.2858,2507.4021,11421.7059, 713.8312, 478.7509,235.0803,,,,,,,,,,,,,,,,, 6.2465, 9.3755
2015-04-01, 4.6378,340724.4040,10241.9790, 7713.5134,2528.4656,11875.0684, 710.3867, 466.0169,244.3698,,,,,,,,,,,,,,,,, 6.0416, 9.6647
2015-05-01, 4.4080,346790.8980,10271.8833, 7873.5057,2398.3776,12129.4856, 633.7406, 455.0860,178.6546,,,,,,,,,,,,,,,,, 5.7800, 7.4490
2015-06-01, 4.4203,351808.3886,10322.6997, 7689.5808,2633.1189,12352.7300, 655.5419, 473.1333,182.4086,,,,,,,,,,,,,,,,, 6.1529, 6.9275
2015-07-01, 4.4557,357160.3173,10388.7468, 7696.5404,2692.2064,12169.8987, 660.9111, 479.8498,181.0612,,,,,,,,,,,,,,,,, 6.2346, 6.7254
2015-08-01, 4.7443,365425.4512,10376.1807, 7648.2627,2727.9181,12490.9325, 660.2923, 481.7577,178.5346,,,,,,,,,,,,,,,,, 6.2989, 6.5447
2015-09-01, 5.3507,367407.0694,10447.3113, 7654.6720,2792.6394,12475.9669, 663.4571, 486.8742,176.5829,,,,,,,,,,,,,,,,, 6.3605, 6.3232
2015-10-01, 5.8948,369874.1708,10516.3631, 7861.4525,2654.9106,12442.8618, 673.5823, 497.5165,176.0658,,,,,,,,,,,,,,,,, 6.3286, 6.6317
2015-11-01, 6.3931,375834.6122,10567.4761, 7867.7393,2699.7369,12966.1768, 696.2413, 514.4158,181.8255,,,,,,,,,,,,,,,,, 6.5383, 6.7349
2015-12-01, 6.7691,377193.8127,10554.0720, 7823.6888,2730.3832,12125.1587, 682.9220, 504.1518,178.7702,,,,,,,,,,,,,,,,, 6.4439, 6.5474
2016-01-01, 7.4547,379547.1332,10521.1158, 7624.3956,2896.7201,13102.0078, 708.5459, 523.7419,184.8039,15.2305,15.2029,13.1049,21.1165, 16.1220, -2.5071,  7.6547,-23.0831, 7.2363, 7.2107,  5.2581,12.7139,  8.0659, -9.2707,  0.1860,-28.4192, 6.8693, 6.3798
2016-02-01, 7.5929,384011.2000,10563.6784, 7624.9665,2938.7120,13372.0101, 716.3217, 529.9101,186.4116,14.9057, 4.5484,-1.8662,25.9016, 17.8630,  3.2029, 13.1547,-17.4384, 6.7967,-2.8296, -8.7915,17.0167,  9.5454, -4.0802,  5.1693,-23.2648, 6.9497, 6.3433
2016-03-01, 7.9756,383789.1197,10582.3623, 7609.6212,2972.7411,13735.1344, 734.8050, 542.0484,192.7567,13.0713, 4.0374,-0.7132,18.5586, 20.2547,  2.9382, 13.2214,-18.0039, 4.7193,-3.6473, -8.0471, 9.8013, 11.3720, -4.6653,  4.8583,-24.0606, 7.1232, 6.4841
2016-04-01, 7.9316,386011.6377,10685.4027, 7844.5016,2840.9011,14039.6594, 737.7568, 545.8842,191.8725,13.2915, 4.3295, 1.6982,12.3567, 18.2280,  3.8528, 17.1383,-21.4827, 4.9660,-3.3374, -5.7754, 4.0999,  9.5398, -3.7790,  8.5301,-27.2527, 6.9588, 6.7539
2016-05-01, 8.1972,391573.5746,10754.0340, 7648.3867,3105.6473,14262.3630, 758.3995, 561.9976,196.4019,12.9135, 4.6939,-2.8592,29.4895, 17.5842, 19.6703, 23.4926,  9.9339, 4.3589,-3.2379,-10.2188,19.6792,  8.6758, 10.6039, 14.1366,  1.6051, 7.3479, 6.3240
2016-06-01, 8.6022,393341.3221,10781.7308, 7627.5019,3154.2289,13751.4313, 764.0979, 562.4559,201.6420,11.8056, 4.4468,-0.8073,19.7906, 11.3230, 16.5597, 18.8789, 10.5442, 2.9496,-3.8262, -8.6642,10.3022,  2.5053,  7.3272,  9.4628,  1.7881, 7.3741, 6.3928
2016-07-01, 8.9650,397225.6559,10851.5892, 7632.3531,3219.2361,14728.0866, 777.2352, 568.4857,208.7494,11.2177, 4.4552,-0.8340,19.5761, 21.0206, 17.6006, 18.4716, 15.2922, 2.0674,-4.1388, -8.9928, 9.7381, 11.0637,  7.9250,  8.7244,  5.8066, 7.4484, 6.4844
