fecha,inflacion,comercial_desembolso_total,consumo_desembolso_total,hipotecaria_desembolso_total,credito_productivo_desembolso_total,total_desembolso_total,comercial_tasa_ponderada,consumo_tasa_ponderada,hipotecaria_tasa_ponderada,credito_productivo_tasa_ponderada,total_tasa_ponderada,comercial_n_creditos,consumo_n_creditos,hipotecaria_n_creditos,credito_productivo_n_creditos,total_n_creditos,gr_comercial_desembolso_total,gr_consumo_desembolso_total,gr_hipotecaria_desembolso_total,gr_credito_productivo_desembolso_total,gr_total_desembolso_total,gr_comercial_tasa_ponderada,gr_consumo_tasa_ponderada,gr_hipotecaria_tasa_ponderada,gr_credito_productivo_tasa_ponderada,gr_total_tasa_ponderada,gr_comercial_n_creditos,gr_consumo_n_creditos,gr_hipotecaria_n_creditos,gr_credito_productivo_n_creditos,gr_total_n_creditos,rgr_comercial_desembolso_total,rgr_consumo_desembolso_total,rgr_hipotecaria_desembolso_total,rgr_credito_productivo_desembolso_total,rgr_total_desembolso_total,r_comercial_tasa_ponderada,r_consumo_tasa_ponderada,r_credito_productivo_tasa_ponderada,r_hipotecaria_tasa_ponderada,r_total_tasa_ponderada,sh_comercial_desembolso_total,sh_consumo_desembolso_total,sh_hipotecaria_desembolso_total,sh_credito_productivo_desembolso_total
2002-05-01, 5.8379, 4383.5819, 5117.4055,  71.7827,  12.7953, 9585.5654,13.7124,27.4251,12.7706,27.2970,21.0443,,,,,,,,,,,,,,,,,,,,,,,,,, 7.4402,20.3965,20.2754, 6.5503,14.3676,45.7311,53.3866,0.7489,0.1335
2002-06-01, 6.2489, 3993.7499, 7568.8321,  55.3403,   9.8845,11627.8067,11.1457,21.9256,12.7116,26.7820,18.1833,,,,,,,,,,,,,,,,,,,,,,,,,, 4.6088,14.7547,19.3255, 6.0826,11.2325,34.3465,65.0925,0.4759,0.0850
2002-07-01, 6.1571, 3155.7905, 4226.9935,  52.5399,   8.9869, 7444.3107,11.6189,26.8529,12.5981,27.2942,20.2948,,,,,,,,,,,,,,,,,,,,,,,,,, 5.1450,19.4955,19.9111, 6.0675,13.3178,42.3920,56.7815,0.7058,0.1207
2002-08-01, 5.9811, 4458.1016, 5327.2021,  70.5580,  15.3410, 9871.2027,11.3745,27.2608,12.6255,27.3155,19.9816,,,,,,,,,,,,,,,,,,,,,,,,,, 5.0890,20.0787,20.1304, 6.2694,13.2104,45.1627,53.9671,0.7148,0.1554
2002-09-01, 5.9696, 3586.7724, 4371.6538,  57.5386,  12.1280, 8028.0929,11.2795,27.3046,12.3785,27.9668,20.0390,,,,,,,,,,,,,,,,,,,,,,,,,, 5.0108,20.1332,20.7580, 6.0479,13.2768,44.6778,54.4545,0.7167,0.1511
2002-10-01, 6.3651, 3555.3353, 4277.6818,  58.7203,  13.1979, 7904.9353,11.1226,27.2835,12.4393,27.6360,19.9053,,,,,,,,,,,,,,,,,,,,,,,,,, 4.4728,19.6666,19.9980, 5.7107,12.7299,44.9761,54.1141,0.7428,0.1670
2002-11-01, 7.0677, 5249.6424, 5611.4319,  77.3876,  20.6851,10959.1470,11.1773,26.8591,12.4254,26.9639,19.2455,,,,,,,,,,,,,,,,,,,,,,,,,, 3.8384,18.4849,18.5828, 5.0040,11.3739,47.9019,51.2032,0.7061,0.1887
2002-12-01, 6.9928, 4873.3748, 4714.1879,  69.5754,  13.7977, 9670.9358,11.3907,26.4370,12.4821,26.5908,18.7547,,,,,,,,,,,,,,,,,,,,,,,,,, 4.1105,18.1734,18.3171, 5.1305,10.9932,50.3920,48.7459,0.7194,0.1427
2003-01-01, 7.3943, 4857.9516, 4525.4917,  75.3170,  12.4217, 9471.1819,11.2259,26.8138,12.3512,26.9099,18.7036,,,,,,,,,,,,,,,,,,,,,,,,,, 3.5678,18.0824,18.1719, 4.6156,10.5306,51.2919,47.7817,0.7952,0.1312
2003-02-01, 7.2394, 4323.8714, 4512.9799,  65.8278,  16.3812, 8919.0602,11.3043,27.2615,12.2952,26.3473,19.4135,,,,,,,,,,,,,,,,,,,,,,,,,, 3.7905,18.6705,17.8180, 4.7145,11.3523,48.4790,50.5993,0.7381,0.1837
2003-03-01, 7.6001, 3952.6518, 4574.7045,  60.6650,  15.0952, 8603.1164,11.3806,26.5912,12.2658,26.8146,19.5021,,,,,,,,,,,,,,,,,,,,,,,,,, 3.5134,17.6497,17.8573, 4.3362,11.0614,45.9444,53.1750,0.7052,0.1755
2003-04-01, 7.8481, 4899.4052, 4612.1651,  60.1383,  13.4753, 9585.1839,10.7224,27.2140,12.4111,27.5766,18.6921,,,,,,,,,,,,,,,,,,,,,,,,,, 2.6651,17.9567,18.2928, 4.2310,10.0548,51.1144,48.1176,0.6274,0.1406
2003-05-01, 7.7314, 5891.5795, 6231.6135,  93.0985,  21.3206,12237.6121,11.5077,27.4334,12.3921,28.1797,19.6531,,,,,, 34.4010, 21.7729, 29.6949,  66.6280, 27.6671,-2.2047, 0.0082,-0.3785, 0.8827,-1.3911,,,,,, 24.7557, 13.0338, 20.3873,  54.6698, 18.5050, 3.5053,18.2880,18.9808, 4.3262,11.0662,48.1432,50.9218,0.7608,0.1742
2003-06-01, 7.2127, 5643.8162, 5056.8546,  70.1219,  17.3953,10788.1881,11.3288,26.5665,12.5081,27.5034,18.5050,,,,,, 41.3162,-33.1884, 26.7105,  75.9866, -7.2208, 0.1831, 4.6409,-0.2035, 0.7214, 0.3217,,,,,, 31.8092,-37.6832, 18.1861,  64.1471,-13.4625, 3.8392,18.0517,18.9257, 4.9392,10.5326,52.3148,46.8740,0.6500,0.1612
2003-07-01, 7.0351, 4739.4085, 4794.0759,  67.0367,  16.6504, 9617.1715,11.2259,26.7216,12.4719,27.7152,18.9876,,,,,, 50.1813, 13.4157, 27.5921,  85.2735, 29.1882,-0.3930,-0.1313,-0.1263, 0.4210,-1.3072,,,,,, 40.3104,  5.9613, 19.2058,  73.0960, 20.6970, 3.9153,18.3926,19.3208, 5.0794,11.1669,49.2807,49.8491,0.6971,0.1731
